flow_id,ui_action,endpoint,backend_service_fn,db_query_source,response_component,error_path,cache_path,auth_dependency,status
FE-009,bar click drill (phys-inv level0),GET /api/v1/physical-inventory/overview/by-role,dc_service.get_physical_inventory_overview_by_role,discovery_rack.PHYSICAL_INVENTORY_BY_ROLE (webui-db),phys-inv-overview-chart.figure,empty list -> no chart update,api_client._api_cache_get_with_stale + backend webui-db cache,verify_api_user (JWT) + can_view(home),complete
FE-010,bar click drill (phys-inv level1),GET /api/v1/physical-inventory/overview/manufacturer,dc_service.get_physical_inventory_overview_manufacturer,discovery_rack.PHYSICAL_INVENTORY_BY_MANUFACTURER,phys-inv-overview-chart.figure,empty list -> no chart update,as above,verify_api_user + can_view(home),complete
FE-011,bar click drill (phys-inv level2),GET /api/v1/physical-inventory/overview/location,dc_service.get_physical_inventory_overview_location,discovery_rack.PHYSICAL_INVENTORY_BY_LOCATION,phys-inv-overview-chart.figure,empty list -> no chart update,as above,verify_api_user + can_view(home),complete
FE-012,page-load home,GET /api/v1/dashboard/overview,dc_service.get_global_dashboard,nutanix/vmware/ibm/energy BATCH (bulutlake),home overview KPI cards,_EMPTY_DASHBOARD fallback,LRU + Redis db=0 (TTL 900s dev / 3600s prod),verify_api_user + can_view(home),complete
FE-013,page-load home,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,loki+nutanix+vmware+ibm+energy (bulutlake),DC list table on home,empty list -> empty grid,LRU + Redis,verify_api_user + can_view(home),complete
FE-015,page-load home,GET /api/v1/sla,dc_service.sla_service.get_sla_data,external SLA HTTP + Redis,sla strip on home,empty by_dc -> blank SLA,LRU + Redis,verify_api_user + can_view(home),complete
FE-016,page-load home,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability (AuraNotify bridge),external AuraNotify /api/sla/datacenter-services,sla strip on home,empty items -> blank,LRU + Redis,verify_api_user + can_view(home),complete
FE-018,page-load datacenters,GET /api/v1/datacenters/summary,dc_service.get_all_datacenters_summary,bulutlake BATCH queries,datacenters table,empty list -> empty grid,LRU + Redis,verify_api_user + can_view(datacenters),complete
FE-019,page-load datacenters,GET /api/v1/sla/datacenter-services,sla_service.get_dc_services_availability,AuraNotify external,datacenter availability column,empty -> N/A column,LRU + Redis,verify_api_user + can_view(datacenters),complete
FE-021,page-load dc_view,GET /api/v1/datacenters/{dc_code},dc_service.get_dc_details,bulutlake (nutanix+vmware+ibm+energy),dc_view header KPIs + tabs,_EMPTY_DC_DETAIL fallback,LRU + Redis,verify_api_user + can_view(dc_view),complete
FE-022,page-load dc_view,GET /api/v1/datacenters/{dc_code}/clusters/classic,dc_service.get_classic_cluster_list,vmware_cluster_metrics,classic cluster selector data,empty list -> selector empty,LRU + Redis,verify_api_user,complete
FE-023,page-load dc_view,GET /api/v1/datacenters/{dc_code}/clusters/hyperconverged,dc_service.get_hyperconv_cluster_list,nutanix_cluster_metrics,hyperconv cluster selector data,empty list,LRU + Redis,verify_api_user,complete
FE-024,page-load dc_view,GET /api/v1/datacenters/{dc_code}/compute/classic,dc_service.get_classic_metrics_filtered,vmware FILTERED queries,classic-virt-panel,empty dict,LRU + Redis,verify_api_user,complete
FE-025,page-load dc_view,GET /api/v1/datacenters/{dc_code}/compute/hyperconverged,dc_service.get_hyperconv_metrics_filtered,nutanix FILTERED queries,hyperconv-virt-panel,empty dict,LRU + Redis,verify_api_user,complete
FE-026,page-load dc_view sellable section,GET /api/v1/datacenters/{dc_code}/sales-potential/v2,dc_sales_potential_v2.compute_sales_potential_v2,crm_potential + nutanix + threshold (composite),dc_view sales-potential card,empty dict,LRU + Redis,verify_api_user,complete
FE-027,page-load dc_view Network tab,GET /api/v1/datacenters/{dc_code}/network/filters,dc_service.get_network_filters,zabbix_network.LATEST_DEVICES,net-filters-store + selectors,empty dict,LRU + Redis,verify_api_user,complete
FE-028,page-load dc_view Power section,GET /api/v1/datacenters/{dc_code}/physical-inventory,dc_service.get_physical_inventory_dc,discovery_rack.PHYSICAL_INVENTORY_DC,phys-inv table,empty,LRU + Redis,verify_api_user,complete
