flow_id,service_name,endpoint,router_file,router_fn,service_file,service_fn,db_access_pattern,query_source,main_tables_or_registry_keys,response_shape,confidence,source_refs
BE-001,datacenter-api,GET /health,services/datacenter-api/app/main.py:78,health,main.py,health,pg_pool+redis,inline,N/A,dict{status/db_pool/webui_pool/redis},high,main.py
BE-002,datacenter-api,GET /ready,services/datacenter-api/app/main.py:90,ready,main.py,ready,none,inline,N/A,dict{status},high,main.py
BE-003,datacenter-api,GET /api/v1/datacenters/summary,services/datacenter-api/app/routers/datacenters.py:26,list_datacenters,services/datacenter-api/app/services/dc_service.py:1557,get_all_datacenters_summary,pg_pool+redis_cache,registry: loki.ACTIVE_DATACENTERS / nutanix.BATCH_* / vmware.BATCH_* / ibm.BATCH_* / energy.BATCH_*,"loki_locations, nutanix_cluster_metrics, vmware_cluster_metrics, ibm_*_general, raw_energy_metrics",List[DataCenterSummary],high,routers/datacenters.py
BE-004,datacenter-api,GET /api/v1/datacenters/{dc_code},services/datacenter-api/app/routers/datacenters.py:34,datacenter_detail,services/datacenter-api/app/services/dc_service.py:1074,get_dc_details,pg_pool+redis_cache,registry: nutanix/vmware/ibm/energy + HOST_COUNT/MEMORY/STORAGE/CPU,"nutanix_cluster_metrics, vmware_cluster_metrics, ibm_host_metrics, raw_energy_metrics","dict{meta,intel,power,energy,platforms}",high,routers/datacenters.py
BE-005,datacenter-api,GET /api/v1/sla,services/datacenter-api/app/routers/datacenters.py:44,sla_availability,services/datacenter-api/app/services/sla_service.py:104,get_sla_data,redis_cache+http_proxy,sla_service._fetch_sla_raw,external,dict{by_dc},high,routers/datacenters.py
BE-006,datacenter-api,GET /api/v1/sla/datacenter-services,services/datacenter-api/app/routers/datacenters.py:51,sla_dc_services,services/datacenter-api/app/services/sla_service.py:134,get_dc_services_availability,redis_cache+http_proxy,_fetch_dc_services_raw -> AuraNotify,external,dict{items},high,routers/datacenters.py
BE-007,datacenter-api,GET /api/v1/datacenters/{dc_code}/s3/pools,services/datacenter-api/app/routers/datacenters.py:58,dc_s3_pools,services/datacenter-api/app/services/dc_service.py:2348,get_dc_s3_pools,pg_pool+redis_cache,s3.POOL_LIST + POOL_LATEST + POOL_FIRST_LAST,raw_s3icos_pool_metrics,"dict{pools,latest,growth}",high,db/queries/s3.py
BE-008,datacenter-api,GET /api/v1/datacenters/{dc_code}/backup/netbackup,services/datacenter-api/app/routers/datacenters.py:67,dc_netbackup,services/datacenter-api/app/services/dc_service.py:2542,get_dc_netbackup_pools,pg_pool+redis_cache,backup.NETBACKUP_DISK_POOLS_LATEST,raw_backup_netbackup_metrics,"dict{pools,latest}",high,db/queries/backup.py
BE-009,datacenter-api,GET /api/v1/datacenters/{dc_code}/backup/zerto,services/datacenter-api/app/routers/datacenters.py:72,dc_zerto,services/datacenter-api/app/services/dc_service.py:2560,get_dc_zerto_sites,pg_pool+redis_cache,backup.ZERTO_SITES_LATEST,raw_backup_zerto_metrics,"dict{sites,latest}",high,db/queries/backup.py
BE-010,datacenter-api,GET /api/v1/datacenters/{dc_code}/backup/veeam,services/datacenter-api/app/routers/datacenters.py:77,dc_veeam,services/datacenter-api/app/services/dc_service.py:2578,get_dc_veeam_repos,pg_pool+redis_cache,backup.VEEAM_REPOS_LATEST,raw_backup_veeam_metrics,"dict{repos,latest}",high,db/queries/backup.py
BE-011,datacenter-api,GET /api/v1/datacenters/{dc_code}/clusters/classic,services/datacenter-api/app/routers/datacenters.py:82,classic_clusters,services/datacenter-api/app/services/dc_service.py:638,get_classic_cluster_list,pg_pool+redis_cache,vmware.CLUSTER_LIST,vmware_cluster_metrics,list[str],high,db/queries/vmware.py
BE-012,datacenter-api,GET /api/v1/datacenters/{dc_code}/clusters/hyperconverged,services/datacenter-api/app/routers/datacenters.py:87,hyperconv_clusters,services/datacenter-api/app/services/dc_service.py:658,get_hyperconv_cluster_list,pg_pool+redis_cache,nutanix.CLUSTER_LIST,nutanix_cluster_metrics,list[str],high,db/queries/nutanix.py
BE-013,datacenter-api,GET /api/v1/datacenters/{dc_code}/compute/classic,services/datacenter-api/app/routers/datacenters.py:92,classic_compute_filtered,services/datacenter-api/app/services/dc_service.py:677,get_classic_metrics_filtered,pg_pool+redis_cache,vmware.HOST_COUNT_FILTERED + MEMORY_FILTERED + STORAGE_FILTERED + CPU_FILTERED + AVG30,"vmware_cluster_metrics, vmware_host_metrics","dict{summary,by_cluster}",high,db/queries/vmware.py
BE-014,datacenter-api,GET /api/v1/datacenters/{dc_code}/compute/hyperconverged,services/datacenter-api/app/routers/datacenters.py:103,hyperconv_compute_filtered,services/datacenter-api/app/services/dc_service.py:735,get_hyperconv_metrics_filtered,pg_pool+redis_cache,nutanix.HOST_COUNT_FILTERED + MEMORY_FILTERED + STORAGE_FILTERED + CPU_FILTERED + AVG30,"nutanix_cluster_metrics, nutanix_host_metrics","dict{summary,by_cluster}",high,db/queries/nutanix.py
BE-015,datacenter-api,GET /api/v1/datacenters/{dc_code}/racks,services/datacenter-api/app/routers/datacenters.py:114,dc_racks,services/datacenter-api/app/services/dc_service.py:4151,get_dc_racks,webui_db,discovery_rack.RACKS_BY_DC,"discovery_netbox_inventory_rack, discovery_netbox_inventory_device",dict{racks},high,db/queries/discovery_rack.py
